anio;periodo;mes;area;ciudad;tasa_participacion_global;tasa_participacion_bruta;tasa_desempleo;empleo_total;empleo_formal;empleo_informal;empleo_adecuado;subempleo;no_remunerado;otro_no_pleno;brecha_adecuado_HM;brecha_salarial_HM;NiNi;desempleo_juvenil;trabajo_infantil;empleo_manufactura;tasa_asistencia_clases;pobreza_ingresos;pobreza_extrema_ingresos
2010;3;Marzo;1;090150;70.6546;49.9125;12.2669;87.7331;53.9878;39.1403;46.528;17.0115;3.7379;17.7419;38.8947;30.2965;21.6292;22.946;2.1957;14.9745;72.8199;20.0933;4.3584
2010;3;Marzo;1;170150;62.7535;49.4273;7.1913;92.8087;74.1084;19.0062;59.2224;9.8183;4.7055;16.0271;20.1681;32.6638;10.3919;11.4137;2.1746;14.1434;82.1592;12.0949;3.6562
2010;3;Marzo;1;180150;71.6759;55.5141;3.1434;96.8566;71.1777;24.6924;50.1744;9.9554;11.5769;23.9357;37.3523;34.554;7.946;5.4701;3.7782;21.5183;84.6844;11.6328;2.7898
2010;6;Junio;1;010150;66.6636;50.2374;4.0348;95.9652;70.0804;23.0327;57.6996;10.1979;6.3075;21.22;30.8156;19.4069;6.6603;5.3293;2.0824;18.9121;80.8292;10.647;3.396
2010;6;Junio;1;070150;64.7827;46.8685;5.4247;94.5753;55.1229;35.4423;48.6934;17.8855;4.102;21.8171;41.392;45.0352;16.6385;9.6002;1.1023;11.4415;77.1763;17.8372;6.8907
2010;6;Junio;1;090150;66.7995;47.39;8.9865;91.0135;54.819;36.1369;50.9548;15.3169;2.0131;19.5542;26.6453;23.226;19.4479;17.4962;0.8197;16.0621;78.342;21.7877;5.7806
2010;6;Junio;1;170150;60.4151;47.6551;6.721;93.279;77.0682;15.5191;62.3517;8.2513;2.7985;16.4287;17.632;32.8802;11.0071;9.8705;3.4171;13.4363;81.1862;13.8374;3.9856
2010;6;Junio;1;180150;67.5009;51.3131;3.2582;96.7418;69.7439;24.5606;50.4857;13.6582;9.7338;22.087;35.4806;47.4561;8.9681;7.4201;2.2396;19.2767;83.9484;13.6284;3.5467
2010;6;Junio;2;070150;68.2492;49.3137;3.0813;96.9187;54.9923;15.6666;59.8222;15.1236;1.5043;20.4686;51.0455;5.8068;11.6445;5.6466;0.0;2.0553;82.7566;4.6373;0.8718
2010;6;Junio;2;090150;64.8649;38.7097;0.0;100.0;20.8333;16.6667;41.6667;8.3333;0.0;50.0;44.4444;39.4005;45.4545;0.0;0.0;0.0;63.3333;27.4194;0.0
2010;6;Junio;2;170150;83.3333;58.1395;4.0;96.0;25.0;33.3333;20.0;32.0;0.0;44.0;72.9167;10.3845;12.5;14.2857;0.0;4.1667;68.4211;13.9535;11.6279
2010;6;Junio;2;180150;60.9616;49.2164;4.8244;95.1756;47.3511;36.4052;54.7155;23.9044;6.7978;9.7578;45.7331;38.0261;1.8401;12.8652;0.0;15.3214;84.8006;10.6195;10.6195
2010;9;Septiembre;1;010150;64.0467;49.2359;3.9858;96.0142;75.0634;21.6494;63.9386;6.546;5.6564;19.2327;21.4831;26.5062;9.0345;6.0013;1.2523;21.1459;83.2173;9.3499;1.9123
2010;9;Septiembre;1;070150;67.0653;48.7307;6.1375;93.8625;53.3213;41.0864;52.6981;16.4367;3.8656;20.7235;34.3424;32.2608;17.457;12.2425;2.209;8.3682;75.3622;17.3398;4.8663
2010;9;Septiembre;1;090150;69.0906;49.2894;10.0272;89.9728;56.6249;37.8436;51.9299;13.6357;3.3047;19.9074;37.8319;23.7472;19.9462;17.0705;1.2333;14.3274;74.7696;18.2033;3.4458
2010;9;Septiembre;1;170150;63.1001;48.951;5.8065;94.1935;76.1587;18.0533;63.3531;6.4259;4.4978;17.3552;15.9823;32.2886;13.3247;11.0731;2.1905;14.8914;81.4705;11.4649;3.822
2010;9;Septiembre;1;180150;69.4555;53.2805;3.6659;96.3341;68.658;25.5078;52.0807;9.0401;10.6896;23.7154;26.3481;27.732;6.793;8.6983;7.2444;23.1768;85.4037;12.5609;3.0495
2010;12;Diciembre;1;010150;61.6993;48.2989;2.5478;97.4522;77.9638;18.0916;66.5742;6.1644;6.0689;18.4872;22.0795;24.6073;4.3571;4.469;1.5745;19.4151;82.7941;9.7218;2.1305
2010;12;Diciembre;1;070150;64.9598;46.9214;4.3347;95.6653;55.6386;35.3548;50.4384;14.8498;4.2698;26.1072;28.5536;12.9211;15.9511;8.6787;0.9426;7.4284;77.6623;21.994;6.8321
2010;12;Diciembre;1;090150;65.557;46.0677;7.6084;92.3916;60.4346;33.9277;55.4785;13.0513;2.9939;20.3207;34.3153;31.967;17.6494;13.6275;0.7511;14.7695;76.501;20.0777;2.9714
2010;12;Diciembre;1;170150;60.8913;48.2684;4.3316;95.6684;76.1851;18.1581;65.0106;7.6653;3.9729;14.7203;15.3931;28.1895;11.7898;8.5036;0.6209;13.3265;80.3119;10.5388;3.1556
2010;12;Diciembre;1;180150;66.5489;51.7098;3.2433;96.7567;71.0936;23.3702;54.216;6.8317;9.9265;25.2692;42.6103;31.5915;7.5545;8.8308;3.9455;21.5099;85.0358;14.894;3.5455
2010;12;Diciembre;2;070150;71.6366;51.8041;0.0;100.0;65.5417;19.657;53.8007;14.2375;5.7442;25.5238;59.8414;22.7915;8.5462;0.0;2.7821;2.1726;65.4686;6.2697;2.09
2010;12;Diciembre;2;090150;60.0;36.3636;8.3333;91.6667;68.1818;31.8182;29.1667;33.3333;0.0;29.1667;100.0;55.9762;33.3333;14.2857;0.0;4.5455;55.8824;54.5455;18.1818
2010;12;Diciembre;2;170150;64.2857;32.1429;5.5556;94.4444;5.8824;82.3529;16.6667;11.1111;0.0;66.6667;100.0;55.0024;25.0;20.0;0.0;11.7647;82.6087;91.0714;30.3571
2010;12;Diciembre;2;180150;61.309;50.5945;0.0;100.0;36.5277;55.8756;36.5277;17.3617;2.3502;43.7604;73.4989;45.0744;0.0;0.0;0.0;27.1267;89.3107;26.3523;16.287
2011;3;Marzo;1;010150;63.9475;49.6167;4.1012;95.8988;73.7283;20.6241;56.8679;9.0017;6.4643;23.0784;27.3906;24.6695;7.4051;9.0655;2.2869;18.0041;82.1182;11.0693;4.1613
2011;3;Marzo;1;070150;69.1092;50.614;7.241;92.759;57.4557;39.1083;43.7861;15.0006;5.4714;26.9801;39.9711;25.4366;18.5327;18.6698;1.4113;10.4096;76.3975;13.9847;2.2786
2011;3;Marzo;1;090150;67.0493;48.1855;9.9905;90.0095;57.0816;35.8897;46.9758;14.2673;3.5716;23.3603;39.01;33.4639;23.7075;20.9913;1.0578;15.3911;73.5124;18.2507;3.2661
2011;3;Marzo;1;170150;61.0585;49.2361;5.6788;94.3212;77.2485;15.8227;62.1293;9.7651;3.3317;15.7642;15.0113;33.3116;7.9971;10.1616;0.8876;14.1571;83.3633;9.4834;3.4042
