p_año;p_ciudad;provincia;canton;parroquia;tasa_participacion_global;tasa_participacion_bruta;tasa_desempleo;empleo_total;empleo_formal;empleo_informal;empleo_adecuado;subempleo;no_remunerado;otro_no_pleno;brecha_adecuado_HM;brecha_salarial_HM;NiNi;desempleo_juvenil;trabajo_infantil;empleo_manufactura;tasa_asistencia_clases;pobreza_ingresos;pobreza_extrema_ingresos;pobreza_multidimensional;pobreza_extrema_multidimensional;necesidades_basicas_insatisfechas
2013;180150;TUNGURAHUA;AMBATO;AMBATO;69,53895;53,84415;3,957125;96,042875;75,955;19,860875;51,180825;11,3383;9,24365;22,277725;26,1211;26,4642;11,2073;8,206625;4,032775;21,605425;80,8328;9,6664;3,175125;11,4699;1,3899;10,50005
2014;10150;AZUAY;CUENCA;CUENCA;64,256625;48,27135;3,2689;96,7311;75,2423;19,7786;66,335725;5,89635;5,3075;19,109275;23,624025;28,686275;10,8099;6,100675;0,84155;19,559;83,00595;5,804225;1,613275;6,888525;0,50305;5,271375
2014;70150;EL ORO;MACHALA;MACHALA;63,403925;45,70835;3,02755;96,97245;60,72365;30,636425;54,858375;10,96805;5,2554;25,85205;32,66755;19,611625;19,9749;5,647325;0,686125;8,63245;75,605325;13,005075;2,67355;22,326275;4,863575;24,322075
2014;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;63,2698;45,381425;5,237525;94,762475;60,288;34,241175;60,00855;10,151125;2,965725;21,43115;26,309125;20,952275;22,391125;12,261;0,2855;14,065175;73,3914;11,696525;1,681175;22,21225;3,36715;26,555475
2014;170150;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;QUITO;63,26565;48,01415;4,13525;95,86475;76,269525;16,972;70,548075;3,95975;3,655525;16,235725;17,713325;22,827975;15,577575;8,67595;0,4279;12,43115;80,3519;7,529675;2,0236;4,83875;0,414575;8,924775
2014;180150;TUNGURAHUA;AMBATO;AMBATO;68,99405;50,483525;4,579425;95,420575;73,3359;21,9366;55,755825;10,9582;6,734475;21,84575;27,9383;27,30175;14,367825;9,519025;1,134125;20,7223;81,888725;9,920875;2,5465;9,58125;0,949025;10,159175
2015;10150;AZUAY;CUENCA;CUENCA;66,779225;50,0294;3,0691;96,9309;72,67065;22,137875;62,2628;8,35245;7,042725;19,24115;25,910225;29,92645;12,4181;4,943;2,3082;18,972525;80,9295;5,2159;1,2735;8,862025;0,8058;5,998225
2015;70150;EL ORO;MACHALA;MACHALA;65,247025;46,092375;3,660375;96,339625;58,45515;31,51405;53,039125;12,673425;6,27475;24,352325;30,6326;23,9476;21,0634;6,793825;2,29185;8,12785;74,901925;11,626975;2,46575;21,432925;4,62455;24,347625
2015;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;64,20245;45,2994;4,53715;95,46285;58,7167;35,517375;59,23655;10,530875;3,48765;22,0342;30,184;23,002825;22,289525;10,944175;0,2089;13,808175;73,309675;9,584725;1,278975;20,171575;2,940825;25,777625
2015;170150;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;QUITO;63,460425;47,036825;4,832425;95,167575;75,78485;17,564125;67,3587;4,73245;3,42295;16,496225;20,402025;16,8507;16,705175;8,180425;0,34675;12,876275;80,777975;6,99515;1,996925;3,942425;0,26845;6,1086
